Date,Color,Rig Number,Region
07-26-2020,Red,590,Mid-Con
08-09-2020,Orange,573,Mid-Con
08-16-2020,Orange,573,Mid-Con
08-23-2020,Orange,573,Mid-Con
08-30-2020,Orange,573,Mid-Con
08-30-2020,Orange,573,Mid-Con
08-30-2020,Orange,590,Mid-Con
08-30-2020,Red,573,Mid-Con
09-13-2020,Orange,590,Mid-Con
09-27-2020,Orange,573,Mid-Con
09-27-2020,Orange,573,Mid-Con
09-27-2020,Orange,573,Mid-Con
10-04-2020,Orange,590,Mid-Con
10-04-2020,Orange,590,Mid-Con
10-18-2020,Orange,590,Mid-Con
10-25-2020,Orange,573,Mid-Con
10-25-2020,Orange,573,Mid-Con
11-22-2020,Orange,573,Mid-Con
12-06-2020,Orange,573,Mid-Con
12-06-2020,Orange,590,Mid-Con
12-13-2020,Orange,590,Mid-Con
12-20-2020,Orange,573,Mid-Con
12-20-2020,Orange,573,Mid-Con
12-20-2020,Orange,590,Mid-Con
12-20-2020,Red,573,Mid-Con
12-20-2020,Red,573,Mid-Con
01-10-2021,Orange,590,Mid-Con
01-17-2021,Orange,573,Mid-Con
01-17-2021,Orange,573,Mid-Con
01-24-2021,Orange,267,Mid-Con
01-24-2021,Red,267,Mid-Con
01-31-2021,Orange,573,Mid-Con
01-31-2021,Red,573,Mid-Con
01-31-2021,Red,573,Mid-Con
02-07-2021,Orange,Yard,Mid-Con
02-07-2021,Red,267,Mid-Con
02-14-2021,Orange,590,Mid-Con
02-14-2021,Red,267,Mid-Con
02-21-2021,Orange,590,Mid-Con
03-07-2021,Orange,573,Mid-Con
03-07-2021,Red,267,Mid-Con
03-14-2021,Orange,590,Mid-Con
03-14-2021,Red,573,Mid-Con
03-28-2021,Orange,576,Mid-Con
04-04-2021,Orange,590,Mid-Con
04-11-2021,Orange,590,Mid-Con
04-11-2021,Orange,590,Mid-Con
04-11-2021,Orange,590,Mid-Con
04-18-2021,Orange,573,Mid-Con
04-18-2021,Orange,590,Mid-Con
04-18-2021,Red,590,Mid-Con
04-25-2021,Orange,590,Mid-Con
04-25-2021,Red,573,Mid-Con
05-02-2021,Orange,573,Mid-Con
05-02-2021,Orange,576,Mid-Con
05-02-2021,Orange,590,Mid-Con
05-02-2021,Red,576,Mid-Con
05-09-2021,Orange,590,Mid-Con
05-23-2021,Orange,590,Mid-Con
06-06-2021,Orange,573,Mid-Con
06-06-2021,Orange,589,Mid-Con
06-13-2021,Orange,589,Mid-Con
06-13-2021,Orange,590,Mid-Con
06-13-2021,Orange,Yard,Mid-Con
06-20-2021,Orange,573,Mid-Con
06-20-2021,Orange,Yard,Mid-Con
07-04-2021,Orange,573,Mid-Con
07-04-2021,Orange,573,Mid-Con
07-11-2021,Orange,573,Mid-Con
07-11-2021,Orange,589,Mid-Con
07-11-2021,Orange,590,Mid-Con
07-18-2021,Orange,Yard,Mid-Con
07-25-2021,Orange,573,Mid-Con
07-25-2021,Orange,589,Mid-Con
08-08-2021,Orange,589,Mid-Con
08-08-2021,Orange,590,Mid-Con
08-22-2021,Orange,590,Mid-Con
08-22-2021,Orange,Yard,Mid-Con
08-22-2021,Red,573,Mid-Con
08-22-2021,Red,576,Mid-Con
08-29-2021,Orange,573,Mid-Con
08-29-2021,Orange,589,Mid-Con
08-29-2021,Orange,590,Mid-Con
09-05-2021,Orange,592,Mid-Con
09-12-2021,Orange,573,Mid-Con
09-19-2021,Orange,287,Mid-Con
09-19-2021,Orange,573,Mid-Con
09-19-2021,Orange,576,Mid-Con
09-19-2021,Orange,589,Mid-Con
09-19-2021,Orange,590,Mid-Con
09-26-2021,Orange,576,Mid-Con
09-26-2021,Orange,576,Mid-Con
09-26-2021,Red,573,Mid-Con
09-26-2021,Red,576,Mid-Con
10-03-2021,Orange,293,Mid-Con
10-03-2021,Orange,293,Mid-Con
10-03-2021,Red,287,Mid-Con
10-10-2021,Orange,287,Mid-Con
10-10-2021,Orange,Yard,Mid-Con
10-10-2021,Other,592,Mid-Con
10-17-2021,Orange,573,Mid-Con
10-17-2021,Orange,589,Mid-Con
10-24-2021,Orange,589,Mid-Con
10-31-2021,Orange,576,Mid-Con
11-07-2021,Orange,589,Mid-Con
11-07-2021,Orange,589,Mid-Con
11-14-2021,Orange,573,Mid-Con
11-21-2021,Orange,293,Mid-Con
11-21-2021,Red,293,Mid-Con
11-21-2021,Red,293,Mid-Con
11-28-2021,Orange,589,Mid-Con
12-19-2021,Orange,573,Mid-Con
12-19-2021,Orange,589,Mid-Con
12-19-2021,Red,590,Mid-Con
12-26-2021,Orange,576,Mid-Con
12-26-2021,Orange,589,Mid-Con
12-26-2021,Red,590,Mid-Con
01-02-2022,Orange,576,Mid-Con
01-02-2022,Orange,596,Mid-Con
01-02-2022,Red,589,Mid-Con
01-02-2022,Red,592,Mid-Con
01-09-2022,Orange,290,Mid-Con
01-09-2022,Orange,589,Mid-Con
01-23-2022,Orange,576,Mid-Con
01-23-2022,Orange,592,Mid-Con
01-23-2022,Red,576,Mid-Con
02-06-2022,Red,592,Mid-Con
02-06-2022,Red,592,Mid-Con
02-13-2022,Orange,576,Mid-Con
02-13-2022,Red,592,Mid-Con
02-13-2022,Red,592,Mid-Con
02-13-2022,Red,592,Mid-Con
02-20-2022,Red,573,Mid-Con
02-20-2022,Red,576,Mid-Con
02-20-2022,Red,576,Mid-Con
02-20-2022,Red,592,Mid-Con
02-27-2022,Orange,576,Mid-Con
02-27-2022,Red,573,Mid-Con
03-15-2022,Orange,589,Mid-Con
03-29-2022,Orange,287,Mid-Con
03-29-2022,Orange,293,Mid-Con
04-05-2022,Orange,596,Mid-Con
04-05-2022,Red,287,Mid-Con
04-12-2022,Orange,573,Mid-Con
04-19-2022,Orange,576,Mid-Con
04-26-2022,Orange,589,Mid-Con
05-03-2022,Orange,592,Mid-Con
05-24-2022,Orange,Yard,Mid-Con
05-31-2022,Orange,589,Mid-Con
05-31-2022,Orange,589,Mid-Con
06-07-2022,Orange,293,Mid-Con
06-14-2022,Orange,293,Mid-Con
06-14-2022,Red,287,Mid-Con
06-14-2022,Red,287,Mid-Con
07-12-2022,Orange,283,Mid-Con
07-12-2022,Orange,576,Mid-Con
07-12-2022,Red,596,Mid-Con
07-19-2022,Orange,290,Mid-Con
07-19-2022,Red,573,Mid-Con
08-09-2022,Orange,291,Mid-Con
08-09-2022,Orange,365,Mid-Con
08-09-2022,Orange,596,Mid-Con
08-16-2022,Orange,283,Mid-Con
08-16-2022,Orange,291,Mid-Con
08-16-2022,Orange,291,Mid-Con
08-16-2022,Orange,365,Mid-Con
08-16-2022,Orange,365,Mid-Con
08-23-2022,Orange,291,Mid-Con
08-23-2022,Orange,291,Mid-Con
08-30-2022,Orange,283,Mid-Con
08-30-2022,Orange,291,Mid-Con
08-30-2022,Orange,365,Mid-Con
08-30-2022,Red,589,Mid-Con
09-06-2022,Orange,291,Mid-Con
09-06-2022,Orange,589,Mid-Con
09-06-2022,Orange,589,Mid-Con
09-20-2022,Orange,365,Mid-Con
09-20-2022,Orange,573,Mid-Con
09-20-2022,Red,287,Mid-Con
09-20-2022,Red,365,Mid-Con
09-20-2022,Red,589,Mid-Con
10-04-2022,Orange,283,Mid-Con
10-04-2022,Orange,590,Mid-Con
10-04-2022,Orange,596,Mid-Con
10-04-2022,Red,290,Mid-Con
10-11-2022,Orange,283,Mid-Con
10-11-2022,Orange,290,Mid-Con
10-18-2022,Red,589,Mid-Con
10-25-2022,Orange,283,Mid-Con
11-01-2022,Orange,287,Mid-Con
11-01-2022,Orange,291,Mid-Con
11-01-2022,Orange,573,Mid-Con
11-01-2022,Orange,589,Mid-Con
11-15-2022,Red,293,Mid-Con
11-22-2022,Orange,291,Mid-Con
11-22-2022,Orange,589,Mid-Con
11-22-2022,Orange,589,Mid-Con
11-22-2022,Orange,592,Mid-Con
11-22-2022,Orange,596,Mid-Con
11-22-2022,Red,804,Mid-Con
11-29-2022,Orange,290,Mid-Con
11-29-2022,Orange,291,Mid-Con
11-29-2022,Orange,573,Mid-Con
11-29-2022,Orange,576,Mid-Con
11-29-2022,Orange,589,Mid-Con
11-29-2022,Orange,589,Mid-Con
11-29-2022,Orange,590,Mid-Con
11-29-2022,Orange,590,Mid-Con
11-29-2022,Orange,807,Mid-Con
12-06-2022,Orange,283,Mid-Con
12-06-2022,Orange,283,Mid-Con
12-06-2022,Orange,283,Mid-Con
12-06-2022,Orange,283,Mid-Con
12-06-2022,Orange,589,Mid-Con
12-06-2022,Orange,589,Mid-Con
12-06-2022,Orange,807,Mid-Con
12-06-2022,Red,590,Mid-Con
12-13-2022,Orange,291,Mid-Con
12-13-2022,Orange,576,Mid-Con
12-13-2022,Orange,589,Mid-Con
12-13-2022,Orange,592,Mid-Con
12-20-2022,Orange,291,Mid-Con
12-20-2022,Orange,589,Mid-Con
12-27-2022,Orange,589,Mid-Con
12-27-2022,Orange,592,Mid-Con
12-27-2022,Orange,807,Mid-Con
12-27-2022,Red,283,Mid-Con
12-27-2022,Red,287,Mid-Con
01-03-2023,Orange,365,Mid-Con
01-10-2023,Red,Yard,Mid-Con
01-10-2023,Red,Yard,Mid-Con
01-17-2023,Orange,283,Mid-Con
01-17-2023,Orange,293,Mid-Con
01-31-2023,Orange,237,Mid-Con
01-31-2023,Orange,291,Mid-Con
01-31-2023,Orange,590,Mid-Con
01-31-2023,Orange,804,Mid-Con
02-07-2023,Red,807,Mid-Con
02-14-2023,Orange,237,Mid-Con
02-14-2023,Orange,283,Mid-Con
02-14-2023,Orange,287,Mid-Con
02-14-2023,Orange,293,Mid-Con
02-21-2023,Orange,804,Mid-Con
02-21-2023,Red,293,Mid-Con
02-28-2023,Orange,291,Mid-Con
02-28-2023,Orange,573,Mid-Con
02-28-2023,Orange,804,Mid-Con
02-28-2023,Orange,807,Mid-Con
03-07-2023,Red,804,Mid-Con
03-14-2023,Orange,576,Mid-Con
03-14-2023,Red,576,Mid-Con
03-14-2023,Red,804,Mid-Con
03-21-2023,Orange,237,Mid-Con
03-21-2023,Orange,365,Mid-Con
03-28-2023,Red,287,Mid-Con
03-28-2023,Red,804,Mid-Con
03-28-2023,Red,804,Mid-Con
04-04-2023,Orange,807,Mid-Con
04-18-2023,Orange,283,Mid-Con
04-18-2023,Orange,291,Mid-Con
04-18-2023,Orange,596,Mid-Con
04-18-2023,Orange,596,Mid-Con
04-18-2023,Orange,807,Mid-Con
04-25-2023,Orange,573,Mid-Con
04-25-2023,Orange,807,Mid-Con
05-02-2023,Orange,589,Mid-Con
05-02-2023,Red,365,Mid-Con
05-02-2023,Red,365,Mid-Con
05-02-2023,Red,576,Mid-Con
05-02-2023,Red,576,Mid-Con
05-02-2023,Red,589,Mid-Con
05-09-2023,Orange,576,Mid-Con
05-16-2023,Red,589,Mid-Con
05-16-2023,Red,592,Mid-Con
05-23-2023,Orange,573,Mid-Con
05-23-2023,Orange,Yard,Mid-Con
05-23-2023,Red,592,Mid-Con
05-23-2023,Red,596,Mid-Con
05-30-2023,Orange,807,Mid-Con
05-30-2023,Orange,807,Mid-Con
05-30-2023,Red,596,Mid-Con
06-06-2023,Orange,596,Mid-Con
06-13-2023,Orange,293,Mid-Con
06-13-2023,Orange,573,Mid-Con
06-13-2023,Orange,592,Mid-Con
06-13-2023,Orange,592,Mid-Con
06-13-2023,Orange,596,Mid-Con
06-20-2023,Orange,291,Mid-Con
06-20-2023,Orange,291,Mid-Con
06-20-2023,Red,573,Mid-Con
06-27-2023,Red,592,Mid-Con
06-27-2023,Red,596,Mid-Con
07-04-2023,Red,596,Mid-Con
07-11-2023,Red,596,Mid-Con
07-18-2023,Orange,290,Mid-Con
07-18-2023,Orange,291,Mid-Con
07-18-2023,Red,573,Mid-Con
07-25-2023,Red,807,Mid-Con
07-25-2023,Red,807,Mid-Con
08-08-2023,Orange,589,Mid-Con
08-08-2023,Orange,589,Mid-Con
08-08-2023,Orange,596,Mid-Con
08-15-2023,Orange,589,Mid-Con
08-15-2023,Red,576,Mid-Con
08-22-2023,Orange,590,Mid-Con
08-22-2023,Orange,592,Mid-Con
08-29-2023,Orange,590,Mid-Con
08-29-2023,Orange,592,Mid-Con
09-05-2023,Orange,287,Mid-Con
09-05-2023,Orange,592,Mid-Con
09-05-2023,Orange,592,Mid-Con
09-05-2023,Orange,592,Mid-Con
09-05-2023,Orange,592,Mid-Con
09-12-2023,Orange,589,Mid-Con
09-26-2023,Orange,365,Mid-Con
09-26-2023,Red,592,Mid-Con
09-26-2023,Red,807,Mid-Con
09-26-2023,Red,807,Mid-Con
10-06-2019,Orange,808,North Dakota
10-06-2019,Orange,808,North Dakota
10-06-2019,Red,808,North Dakota
10-06-2019,Other,344,North Dakota
10-13-2019,Orange,286,North Dakota
10-13-2019,Orange,806,North Dakota
10-13-2019,Orange,811,North Dakota
10-27-2019,Orange,345,North Dakota
10-27-2019,Orange,348,North Dakota
10-27-2019,Orange,348,North Dakota
11-03-2019,Orange,286,North Dakota
11-03-2019,Orange,345,North Dakota
11-03-2019,Orange,348,North Dakota
11-03-2019,Orange,348,North Dakota
11-03-2019,Orange,811,North Dakota
11-03-2019,Red,808,North Dakota
12-01-2019,Orange,344,North Dakota
12-01-2019,Other,806,North Dakota
12-08-2019,Orange,286,North Dakota
12-22-2019,Orange,344,North Dakota
12-22-2019,Red,811,North Dakota
01-12-2020,Orange,348,North Dakota
01-12-2020,Red,286,North Dakota
01-12-2020,Red,806,North Dakota
01-12-2020,Other,286,North Dakota
01-19-2020,Orange,344,North Dakota
01-19-2020,Orange,348,North Dakota
01-19-2020,Other,286,North Dakota
01-26-2020,Orange,344,North Dakota
01-26-2020,Orange,345,North Dakota
01-26-2020,Orange,348,North Dakota
01-26-2020,Red,808,North Dakota
02-02-2020,Orange,345,North Dakota
02-02-2020,Orange,345,North Dakota
02-16-2020,Orange,345,North Dakota
02-16-2020,Orange,348,North Dakota
02-23-2020,Orange,344,North Dakota
02-23-2020,Orange,344,North Dakota
02-23-2020,Orange,806,North Dakota
03-01-2020,Orange,344,North Dakota
03-01-2020,Orange,348,North Dakota
03-01-2020,Orange,808,North Dakota
03-08-2020,Orange,335,North Dakota
03-08-2020,Orange,335,North Dakota
03-08-2020,Orange,345,North Dakota
03-08-2020,Orange,345,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Orange,348,North Dakota
03-08-2020,Other,335,North Dakota
03-15-2020,Orange,335,North Dakota
03-15-2020,Orange,335,North Dakota
03-15-2020,Orange,808,North Dakota
03-22-2020,Orange,345,North Dakota
03-22-2020,Orange,808,North Dakota
03-29-2020,Orange,344,North Dakota
04-05-2020,Orange,344,North Dakota
04-12-2020,Orange,344,North Dakota
04-12-2020,Orange,345,North Dakota
04-12-2020,Orange,345,North Dakota
04-12-2020,Orange,348,North Dakota
04-12-2020,Orange,348,North Dakota
04-12-2020,Orange,808,North Dakota
04-19-2020,Orange,344,North Dakota
04-26-2020,Orange,345,North Dakota
02-14-2021,Orange,808,North Dakota
02-21-2021,Orange,808,North Dakota
03-21-2021,Orange,808,North Dakota
03-28-2021,Orange,808,North Dakota
03-28-2021,Orange,808,North Dakota
03-28-2021,Orange,808,North Dakota
04-11-2021,Orange,808,North Dakota
04-11-2021,Orange,808,North Dakota
04-18-2021,Orange,808,North Dakota
04-25-2021,Orange,808,North Dakota
05-02-2021,Orange,808,North Dakota
05-09-2021,Orange,808,North Dakota
05-09-2021,Orange,808,North Dakota
05-09-2021,Orange,808,North Dakota
05-09-2021,Orange,808,North Dakota
05-30-2021,Orange,808,North Dakota
05-30-2021,Orange,808,North Dakota
05-30-2021,Orange,901,North Dakota
06-06-2021,Orange,808,North Dakota
06-06-2021,Orange,808,North Dakota
06-13-2021,Orange,808,North Dakota
06-13-2021,Orange,808,North Dakota
06-13-2021,Orange,808,North Dakota
06-20-2021,Orange,808,North Dakota
07-04-2021,Orange,901,North Dakota
07-11-2021,Orange,901,North Dakota
07-18-2021,Orange,808,North Dakota
07-18-2021,Orange,808,North Dakota
07-18-2021,Orange,808,North Dakota
07-18-2021,Orange,808,North Dakota
07-25-2021,Orange,806,North Dakota
07-25-2021,Orange,808,North Dakota
07-25-2021,Orange,808,North Dakota
08-01-2021,Orange,808,North Dakota
08-08-2021,Orange,808,North Dakota
08-08-2021,Orange,808,North Dakota
08-08-2021,Orange,808,North Dakota
08-08-2021,Orange,808,North Dakota
08-15-2021,Orange,806,North Dakota
09-05-2021,Orange,808,North Dakota
09-05-2021,Orange,808,North Dakota
09-05-2021,Orange,808,North Dakota
09-05-2021,Orange,808,North Dakota
09-05-2021,Orange,808,North Dakota
10-03-2021,Orange,806,North Dakota
10-24-2021,Orange,901,North Dakota
11-07-2021,Orange,806,North Dakota
12-05-2021,Orange,806,North Dakota
12-05-2021,Orange,808,North Dakota
12-05-2021,Orange,808,North Dakota
12-05-2021,Orange,811,North Dakota
12-05-2021,Orange,811,North Dakota
12-05-2021,Red,806,North Dakota
12-12-2021,Red,811,North Dakota
12-26-2021,Orange,808,North Dakota
12-26-2021,Orange,808,North Dakota
12-26-2021,Orange,808,North Dakota
12-26-2021,Orange,808,North Dakota
01-02-2022,Orange,808,North Dakota
01-02-2022,Orange,811,North Dakota
01-02-2022,Red,811,North Dakota
01-09-2022,Red,808,North Dakota
01-23-2022,Orange,808,North Dakota
01-23-2022,Orange,808,North Dakota
01-23-2022,Orange,808,North Dakota
01-23-2022,Orange,808,North Dakota
01-23-2022,Orange,811,North Dakota
01-30-2022,Orange,806,North Dakota
02-06-2022,Orange,808,North Dakota
02-06-2022,Orange,808,North Dakota
02-06-2022,Orange,808,North Dakota
02-06-2022,Orange,808,North Dakota
02-20-2022,Orange,806,North Dakota
02-20-2022,Orange,811,North Dakota
02-27-2022,Orange,811,North Dakota
02-27-2022,Orange,901,North Dakota
03-08-2022,Orange,806,North Dakota
03-08-2022,Orange,811,North Dakota
03-08-2022,Red,811,North Dakota
03-15-2022,Orange,901,North Dakota
03-22-2022,Orange,808,North Dakota
03-22-2022,Orange,808,North Dakota
03-22-2022,Orange,808,North Dakota
03-22-2022,Orange,808,North Dakota
03-22-2022,Orange,811,North Dakota
03-29-2022,Orange,806,North Dakota
03-29-2022,Orange,806,North Dakota
03-29-2022,Orange,806,North Dakota
03-29-2022,Orange,806,North Dakota
04-05-2022,Orange,806,North Dakota
04-05-2022,Orange,806,North Dakota
04-05-2022,Orange,806,North Dakota
04-05-2022,Orange,806,North Dakota
04-12-2022,Orange,808,North Dakota
04-12-2022,Orange,808,North Dakota
04-12-2022,Orange,808,North Dakota
04-12-2022,Orange,808,North Dakota
04-12-2022,Orange,808,North Dakota
04-19-2022,Orange,276,North Dakota
04-19-2022,Red,901,North Dakota
04-26-2022,Orange,280,North Dakota
04-26-2022,Orange,280,North Dakota
04-26-2022,Orange,806,North Dakota
04-26-2022,Orange,806,North Dakota
04-26-2022,Orange,806,North Dakota
04-26-2022,Orange,806,North Dakota
04-26-2022,Orange,806,North Dakota
04-26-2022,Orange,808,North Dakota
04-26-2022,Orange,808,North Dakota
04-26-2022,Orange,811,North Dakota
04-26-2022,Orange,901,North Dakota
04-26-2022,Orange,901,North Dakota
05-03-2022,Orange,276,North Dakota
05-03-2022,Orange,276,North Dakota
05-03-2022,Orange,276,North Dakota
05-03-2022,Orange,276,North Dakota
05-03-2022,Orange,276,North Dakota
05-03-2022,Orange,280,North Dakota
05-03-2022,Orange,808,North Dakota
05-03-2022,Orange,808,North Dakota
05-03-2022,Orange,808,North Dakota
05-03-2022,Orange,808,North Dakota
05-03-2022,Orange,808,North Dakota
05-03-2022,Orange,811,North Dakota
05-03-2022,Orange,811,North Dakota
05-03-2022,Orange,901,North Dakota
05-10-2022,Orange,276,North Dakota
05-10-2022,Orange,286,North Dakota
05-10-2022,Orange,286,North Dakota
05-10-2022,Orange,811,North Dakota
05-10-2022,Orange,901,North Dakota
05-17-2022,Orange,808,North Dakota
05-17-2022,Orange,808,North Dakota
05-17-2022,Orange,808,North Dakota
05-17-2022,Orange,808,North Dakota
05-17-2022,Red,280,North Dakota
05-24-2022,Orange,901,North Dakota
05-24-2022,Red,276,North Dakota
06-07-2022,Orange,808,North Dakota
06-07-2022,Orange,808,North Dakota
06-07-2022,Orange,808,North Dakota
06-07-2022,Orange,808,North Dakota
06-07-2022,Orange,811,North Dakota
06-07-2022,Orange,901,North Dakota
06-14-2022,Orange,286,North Dakota
06-14-2022,Orange,286,North Dakota
06-14-2022,Orange,811,North Dakota
06-14-2022,Orange,901,North Dakota
06-21-2022,Orange,808,North Dakota
06-28-2022,Orange,280,North Dakota
06-28-2022,Orange,901,North Dakota
07-05-2022,Orange,286,North Dakota
07-05-2022,Red,286,North Dakota
07-12-2022,Orange,280,North Dakota
07-12-2022,Orange,806,North Dakota
07-12-2022,Orange,808,North Dakota
07-12-2022,Orange,808,North Dakota
07-12-2022,Orange,808,North Dakota
07-12-2022,Orange,808,North Dakota
07-12-2022,Orange,808,North Dakota
07-12-2022,Orange,811,North Dakota
07-12-2022,Orange,901,North Dakota
07-12-2022,Red,808,North Dakota
07-19-2022,Orange,808,North Dakota
08-02-2022,Orange,280,North Dakota
08-09-2022,Orange,286,North Dakota
08-09-2022,Orange,808,North Dakota
08-09-2022,Orange,808,North Dakota
08-09-2022,Orange,808,North Dakota
08-09-2022,Orange,808,North Dakota
08-09-2022,Orange,808,North Dakota
08-09-2022,Orange,811,North Dakota
08-16-2022,Orange,276,North Dakota
08-16-2022,Orange,286,North Dakota
08-16-2022,Orange,808,North Dakota
08-16-2022,Orange,901,North Dakota
09-06-2022,Orange,276,North Dakota
09-06-2022,Red,276,North Dakota
09-20-2022,Orange,286,North Dakota
09-20-2022,Orange,811,North Dakota
10-04-2022,Orange,286,North Dakota
10-04-2022,Orange,808,North Dakota
10-04-2022,Orange,901,North Dakota
10-11-2022,Orange,286,North Dakota
10-11-2022,Orange,806,North Dakota
10-11-2022,Orange,806,North Dakota
10-18-2022,Orange,286,North Dakota
10-18-2022,Orange,806,North Dakota
10-18-2022,Orange,811,North Dakota
10-25-2022,Orange,286,North Dakota
10-25-2022,Orange,901,North Dakota
11-01-2022,Orange,286,North Dakota
11-01-2022,Orange,811,North Dakota
11-08-2022,Orange,276,North Dakota
11-08-2022,Orange,286,North Dakota
11-08-2022,Orange,286,North Dakota
11-08-2022,Orange,806,North Dakota
11-08-2022,Orange,806,North Dakota
11-08-2022,Orange,808,North Dakota
11-08-2022,Orange,901,North Dakota
11-15-2022,Orange,280,North Dakota
11-15-2022,Orange,280,North Dakota
11-15-2022,Orange,286,North Dakota
11-15-2022,Orange,811,North Dakota
11-15-2022,Orange,811,North Dakota
11-15-2022,Orange,901,North Dakota
11-22-2022,Orange,280,North Dakota
11-22-2022,Orange,286,North Dakota
11-22-2022,Orange,811,North Dakota
11-22-2022,Orange,811,North Dakota
11-29-2022,Orange,276,North Dakota
11-29-2022,Orange,280,North Dakota
11-29-2022,Orange,280,North Dakota
11-29-2022,Orange,280,North Dakota
11-29-2022,Orange,806,North Dakota
11-29-2022,Orange,806,North Dakota
11-29-2022,Orange,808,North Dakota
11-29-2022,Orange,811,North Dakota
11-29-2022,Red,280,North Dakota
12-06-2022,Orange,286,North Dakota
12-06-2022,Orange,806,North Dakota
12-06-2022,Orange,806,North Dakota
12-06-2022,Orange,806,North Dakota
12-06-2022,Orange,808,North Dakota
12-06-2022,Orange,811,North Dakota
12-06-2022,Orange,811,North Dakota
12-06-2022,Red,280,North Dakota
12-13-2022,Orange,276,North Dakota
12-13-2022,Orange,286,North Dakota
12-20-2022,Orange,286,North Dakota
12-20-2022,Orange,811,North Dakota
12-20-2022,Orange,901,North Dakota
12-27-2022,Orange,286,North Dakota
12-27-2022,Orange,286,North Dakota
12-27-2022,Orange,806,North Dakota
12-27-2022,Orange,808,North Dakota
12-27-2022,Orange,811,North Dakota
01-03-2023,Orange,286,North Dakota
01-03-2023,Orange,806,North Dakota
01-03-2023,Orange,808,North Dakota
01-10-2023,Orange,276,North Dakota
01-10-2023,Orange,286,North Dakota
01-10-2023,Orange,811,North Dakota
01-10-2023,Orange,811,North Dakota
01-10-2023,Orange,811,North Dakota
01-10-2023,Orange,811,North Dakota
01-17-2023,Orange,286,North Dakota
01-17-2023,Orange,806,North Dakota
01-24-2023,Orange,286,North Dakota
01-24-2023,Orange,286,North Dakota
01-24-2023,Orange,806,North Dakota
01-24-2023,Orange,808,North Dakota
01-24-2023,Orange,901,North Dakota
01-24-2023,Orange,901,North Dakota
01-24-2023,Orange,901,North Dakota
01-31-2023,Orange,286,North Dakota
01-31-2023,Orange,806,North Dakota
01-31-2023,Orange,806,North Dakota
01-31-2023,Orange,808,North Dakota
01-31-2023,Orange,901,North Dakota
01-31-2023,Red,901,North Dakota
01-31-2023,Red,901,North Dakota
02-07-2023,Orange,286,North Dakota
02-07-2023,Orange,808,North Dakota
02-07-2023,Orange,901,North Dakota
02-14-2023,Orange,808,North Dakota
02-14-2023,Orange,811,North Dakota
02-14-2023,Orange,811,North Dakota
02-14-2023,Orange,811,North Dakota
02-14-2023,Orange,901,North Dakota
02-14-2023,Orange,901,North Dakota
02-21-2023,Orange,806,North Dakota
02-21-2023,Orange,806,North Dakota
02-21-2023,Orange,806,North Dakota
02-21-2023,Orange,811,North Dakota
02-28-2023,Orange,806,North Dakota
03-07-2023,Orange,276,North Dakota
03-07-2023,Orange,806,North Dakota
03-07-2023,Orange,806,North Dakota
03-07-2023,Orange,901,North Dakota
03-14-2023,Orange,276,North Dakota
03-14-2023,Orange,276,North Dakota
03-14-2023,Orange,286,North Dakota
03-14-2023,Orange,286,North Dakota
03-14-2023,Orange,806,North Dakota
